word,fre,log_frequency,len,pos,difficult_ug,lexical_difficulty
a,784,6.665683717782408,1,DT,0.0,0.0
i,51,3.9512437185814275,1,NN,0.0,0.0
am,2,1.0986122886681096,2,VBP,0.0,0.0
go,9,2.302585092994046,2,VB,0.0,0.0
me,12,2.5649493574615367,2,PRP,0.0,0.0
my,20,3.044522437723423,2,PRP$,0.0,0.0
us,29,3.4011973816621555,2,PRP,0.0,0.0
if,32,3.4965075614664802,2,IN,0.0,0.0
do,33,3.5263605246161616,2,VB,0.0,0.0
no,37,3.6375861597263857,2,DT,0.0,0.0
so,42,3.7612001156935624,2,RB,0.0,0.0
up,42,3.7612001156935624,2,RP,0.0,0.0
at,115,4.7535901911063645,2,IN,0.0,0.0
an,123,4.820281565605037,2,DT,0.0,0.0
we,136,4.919980925828125,2,PRP,0.0,0.0
or,142,4.962844630259907,2,CC,0.0,0.0
be,150,5.017279836814924,2,VB,0.0,0.0
on,165,5.111987788356544,2,IN,0.0,0.0
by,166,5.117993812416755,2,IN,0.0,0.0
he,182,5.209486152841421,2,PRP,0.0,0.0
it,266,5.58724865840025,2,PRP,0.0,0.0
as,308,5.733341276897746,2,IN,0.0,0.0
is,536,6.285998094508865,2,VBZ,0.0,0.0
in,753,6.625392368007956,2,IN,0.0,0.0
to,781,6.661854740545311,2,TO,0.0,0.0
of,1304,7.173958319756794,2,IN,0.0,0.0
bid,1,0.6931471805599453,3,NN,0.0,0.0
bit,1,0.6931471805599453,3,NN,0.0,0.0
buy,1,0.6931471805599453,3,VB,0.0,0.0
cap,1,0.6931471805599453,3,VB,0.0,0.0
fun,1,0.6931471805599453,3,NN,0.0,0.0
hid,1,0.6931471805599453,3,NN,0.0,0.0
icy,1,0.6931471805599453,3,NN,0.0,0.0
jim,1,0.6931471805599453,3,NN,0.0,0.0
joy,1,0.6931471805599453,3,NN,0.0,0.0
key,1,0.6931471805599453,3,JJ,0.0,0.0
lay,1,0.6931471805599453,3,NN,0.0,0.0
mid,1,0.6931471805599453,3,JJ,0.0,0.0
paw,1,0.6931471805599453,3,JJ,0.0,0.0
pin,1,0.6931471805599453,3,NNS,0.0,0.0
pop,1,0.6931471805599453,3,VBP,0.0,0.0
raw,1,0.6931471805599453,3,JJ,0.0,0.0
red,1,0.6931471805599453,3,JJ,0.0,0.0
rid,1,0.6931471805599453,3,JJ,0.0,0.0
row,1,0.6931471805599453,3,NN,0.0,0.0
sad,1,0.6931471805599453,3,JJ,0.0,0.0
sin,1,0.6931471805599453,3,VBD,0.0,0.0
sky,1,0.6931471805599453,3,JJ,0.0,0.0
ups,1,0.6931471805599453,3,JJ,0.0,0.0
won,1,0.6931471805599453,3,VBD,0.0,0.0
ask,2,1.0986122886681096,3,NN,0.0,0.0
bad,2,1.0986122886681096,3,JJ,0.0,0.0
bed,2,1.0986122886681096,3,VBD,0.0,0.0
cut,2,1.0986122886681096,3,VBN,0.0,0.0
dog,2,1.0986122886681096,3,NN,0.0,0.0
era,2,1.0986122886681096,3,NN,0.0,0.0
eye,2,1.0986122886681096,3,NN,0.0,0.0
fit,2,1.0986122886681096,3,NN,0.0,0.0
hut,2,1.0986122886681096,3,JJ,0.0,0.0
law,2,1.0986122886681096,3,NN,0.0,0.0
lie,2,1.0986122886681096,3,VB,0.0,0.0
low,2,1.0986122886681096,3,JJ,0.0,0.0
map,2,1.0986122886681096,3,VBZ,0.0,0.0
pay,2,1.0986122886681096,3,NN,0.0,0.0
pen,2,1.0986122886681096,3,VB,0.0,0.0
ran,2,1.0986122886681096,3,VBD,0.0,0.0
sea,2,1.0986122886681096,3,NN,0.0,0.0
sip,2,1.0986122886681096,3,JJ,0.0,0.0
six,2,1.0986122886681096,3,CD,0.0,0.0
zoo,2,1.0986122886681096,3,VBP,0.0,0.0
boy,3,1.3862943611198906,3,NN,0.0,0.0
eat,3,1.3862943611198906,3,JJ,0.0,0.0
god,3,1.3862943611198906,3,JJ,0.0,0.0
ice,3,1.3862943611198906,3,NN,0.0,0.0
sit,3,1.3862943611198906,3,NN,0.0,0.0
son,3,1.3862943611198906,3,NN,0.0,0.0
ago,4,1.6094379124341003,3,RB,0.0,0.0
aim,4,1.6094379124341003,3,VBD,0.0,0.0
arm,4,1.6094379124341003,3,JJ,0.0,0.0
cow,4,1.6094379124341003,3,VB,0.0,0.0
tom,4,1.6094379124341003,3,NN,0.0,0.0
gun,5,1.791759469228055,3,NN,0.0,0.0
job,5,1.791759469228055,3,NN,0.0,0.0
