word_count,average_word_length,sentence_count,average_sentence_length,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,difficult_words,cefr_level,cefr_numeric
11,5.7272727272727275,1,11.0,11.088181818181852,14.445454545454545,15.30909090909091,13.023866798666859,5,C1,4
28,5.071428571428571,1,28.0,32.163333333333355,15.480740740740742,19.68888888888889,17.122413403193683,9,C1,4
21,4.190476190476191,1,21.0,64.66285714285716,9.457142857142859,12.20952380952381,11.20814326018867,6,B2,3
23,4.565217391304348,1,23.0,65.78565217391306,9.79739130434783,10.93913043478261,11.20814326018867,2,B1,2
10,5.2,1,10.0,19.025000000000006,13.09,12.0,13.023866798666859,2,B1,2
27,5.7407407407407405,1,27.0,3.9633333333333667,19.414074074074076,25.614814814814817,21.19438992294339,12,C1,4
17,5.411764705882353,1,17.0,53.120000000000005,9.825,8.9,8.841846274778883,8,B2,3
40,5.85,1,40.0,-9.840263157894697,24.072105263157898,30.989473684210527,25.254471183327073,21,C2,5
13,5.076923076923077,1,13.0,43.963076923076954,10.356923076923078,14.430769230769233,13.023866798666859,5,B1,2
16,4.8125,1,16.0,53.120000000000005,9.825,13.9,13.023866798666859,4,C1,4
22,4.181818181818182,1,22.0,62.10739130434784,10.310434782608699,12.678260869565218,13.023866798666859,5,B2,3
19,5.0,1,19.0,42.71500000000003,12.270000000000003,14.0,14.554592549557764,4,B2,3
62,3.8870967741935485,1,62.0,30.090000000000032,24.713333333333335,27.104761904761904,13.023866798666859,14,C2,5
14,6.214285714285714,1,14.0,17.932307692307717,13.98769230769231,17.50769230769231,14.554592549557764,8,C1,4
37,4.1891891891891895,1,37.0,48.035714285714306,15.254285714285718,16.28571428571429,11.20814326018867,8,C1,4
29,4.275862068965517,1,29.0,56.798846153846185,11.796153846153846,15.015384615384617,13.023866798666859,7,B2,3
12,5.166666666666667,1,12.0,43.963076923076954,10.356923076923078,17.50769230769231,14.554592549557764,4,A2,1
10,6.0,1,10.0,27.485000000000014,11.91,20.0,14.554592549557764,5,B1,2
37,5.8108108108108105,2,18.5,5.265000000000015,16.996666666666666,20.533333333333335,17.122413403193683,16,B2,3
24,5.541666666666667,1,24.0,2.7000000000000455,18.845000000000002,22.933333333333337,19.287186520377343,9,B2,3
19,4.894736842105263,1,19.0,42.545000000000016,11.3,13.9,13.023866798666859,8,B1,2
17,5.705882352941177,1,17.0,25.35647058823531,13.945882352941176,13.858823529411765,13.023866798666859,8,C1,4
28,5.0,1,28.0,47.83000000000001,13.29555555555556,13.762962962962963,11.20814326018867,9,B2,3
24,4.833333333333333,1,24.0,37.950000000000045,13.928333333333335,16.26666666666667,14.554592549557764,7,B2,3
12,4.333333333333333,1,12.0,74.805,5.806666666666668,4.800000000000001,3.1291,2,A2,1
20,6.55,1,20.0,0.41500000000002046,18.170000000000005,18.0,15.903189008614273,9,B1,2
14,4.642857142857143,1,14.0,59.68214285714288,8.412857142857145,14.171428571428573,13.023866798666859,4,B2,3
11,6.818181818181818,1,11.0,3.3972727272727354,15.518181818181823,18.94545454545455,14.554592549557764,6,B1,2
31,7.0,1,31.0,-52.03499999999997,27.970000000000002,32.0,25.98008509911553,16,B2,3
22,4.863636363636363,1,22.0,53.759545454545474,11.22636363636364,16.072727272727274,15.903189008614273,5,B2,3
